order_id,customer_id,order_date,categoria,valor_pedido,estado,regiao,idade_cliente,segmento_cliente,dia_semana,mes,trimestre,ano,dia_mes,fim_semana
O000180,C00264,2022-01-08,Eletrônicos,846.39,MG,Sudeste,36,Bronze,5,1,1,2022,8,1
O003835,C00439,2022-01-08,Brinquedos,55.88,RJ,Sudeste,68,Prata,5,1,1,2022,8,1
O005648,C00270,2022-01-08,Alimentos,98.4,PE,Nordeste,24,Platina,5,1,1,2022,8,1
O006409,C00575,2022-01-08,Beleza,210.38,RS,Sul,29,Prata,5,1,1,2022,8,1
O008515,C00892,2022-01-08,Beleza,130.42,PA,Norte,69,Ouro,5,1,1,2022,8,1
O009180,C00052,2022-01-09,Casa e Jardim,211.12,GO,Centro-Oeste,26,Ouro,6,1,1,2022,9,1
O000881,C00555,2022-01-09,Casa e Jardim,131.53,DF,Centro-Oeste,37,Bronze,6,1,1,2022,9,1
O002267,C00021,2022-01-09,Roupas,10.0,SC,Sul,47,Ouro,6,1,1,2022,9,1
O009864,C00864,2022-01-09,Roupas,77.92,AM,Norte,18,Prata,6,1,1,2022,9,1
O002836,C00069,2022-01-09,Eletrônicos,770.14,CE,Nordeste,19,Ouro,6,1,1,2022,9,1
O003202,C00298,2022-01-09,Eletrônicos,10.0,AM,Norte,22,Prata,6,1,1,2022,9,1
O002019,C00911,2022-01-10,Casa e Jardim,539.7,DF,Centro-Oeste,51,Ouro,0,1,1,2022,10,0
O009488,C00312,2022-01-10,Livros,78.6,PE,Nordeste,69,Bronze,0,1,1,2022,10,0
O001259,C00345,2022-01-10,Esportes,302.79,PR,Sul,50,Platina,0,1,1,2022,10,0
O009838,C00543,2022-01-10,Roupas,95.78,PR,Sul,18,Ouro,0,1,1,2022,10,0
O009025,C00552,2022-01-10,Eletrônicos,2497.12,RS,Sul,45,Platina,0,1,1,2022,10,0
O001123,C00160,2022-01-10,Beleza,123.92,RS,Sul,69,Ouro,0,1,1,2022,10,0
O000877,C00942,2022-01-10,Eletrônicos,953.61,SC,Sul,35,Platina,0,1,1,2022,10,0
O002496,C00623,2022-01-11,Esportes,512.94,RS,Sul,40,Platina,1,1,1,2022,11,0
O000106,C00526,2022-01-11,Livros,10.0,BA,Nordeste,65,Prata,1,1,1,2022,11,0
O004245,C00729,2022-01-11,Beleza,116.17,BA,Nordeste,45,Bronze,1,1,1,2022,11,0
O003922,C00564,2022-01-11,Livros,44.08,PE,Nordeste,54,Bronze,1,1,1,2022,11,0
O002070,C00763,2022-01-11,Alimentos,70.55,SC,Sul,49,Prata,1,1,1,2022,11,0
O000309,C00153,2022-01-11,Esportes,171.52,BA,Nordeste,43,Bronze,1,1,1,2022,11,0
O007716,C00690,2022-01-11,Eletrônicos,2088.9,DF,Centro-Oeste,46,Platina,1,1,1,2022,11,0
O007185,C00352,2022-01-11,Alimentos,129.35,DF,Centro-Oeste,47,Ouro,1,1,1,2022,11,0
O003381,C00006,2022-01-11,Brinquedos,128.17,SP,Sudeste,38,Bronze,1,1,1,2022,11,0
O004125,C00323,2022-01-11,Alimentos,86.47,SC,Sul,52,Prata,1,1,1,2022,11,0
O004863,C00266,2022-01-11,Alimentos,155.71,PE,Nordeste,20,Bronze,1,1,1,2022,11,0
O001234,C00080,2022-01-11,Roupas,322.69,DF,Centro-Oeste,31,Ouro,1,1,1,2022,11,0
O006672,C00834,2022-01-11,Esportes,226.48,RS,Sul,40,Prata,1,1,1,2022,11,0
O002874,C00948,2022-01-11,Alimentos,10.0,GO,Centro-Oeste,18,Prata,1,1,1,2022,11,0
O003479,C00767,2022-01-11,Beleza,10.35,GO,Centro-Oeste,29,Prata,1,1,1,2022,11,0
O002596,C00229,2022-01-12,Alimentos,10.0,SP,Sudeste,19,Bronze,2,1,1,2022,12,0
O003496,C00692,2022-01-12,Beleza,97.7,PR,Sul,55,Ouro,2,1,1,2022,12,0
O001045,C00088,2022-01-12,Beleza,209.2,PA,Norte,38,Ouro,2,1,1,2022,12,0
O007678,C00513,2022-01-12,Beleza,280.98,PE,Nordeste,31,Ouro,2,1,1,2022,12,0
O001214,C00771,2022-01-12,Eletrônicos,1137.07,DF,Centro-Oeste,45,Ouro,2,1,1,2022,12,0
O005962,C00870,2022-01-12,Alimentos,58.46,RJ,Sudeste,65,Ouro,2,1,1,2022,12,0
O005054,C00657,2022-01-12,Alimentos,18.82,GO,Centro-Oeste,53,Bronze,2,1,1,2022,12,0
O009567,C00714,2022-01-12,Eletrônicos,328.92,PR,Sul,36,Ouro,2,1,1,2022,12,0
O004670,C00294,2022-01-12,Esportes,179.57,CE,Nordeste,19,Bronze,2,1,1,2022,12,0
O004622,C00767,2022-01-12,Esportes,173.8,GO,Centro-Oeste,29,Prata,2,1,1,2022,12,0
O007300,C00113,2022-01-12,Beleza,144.66,RS,Sul,25,Platina,2,1,1,2022,12,0
O003476,C00936,2022-01-13,Brinquedos,92.32,SC,Sul,49,Prata,3,1,1,2022,13,0
O001720,C00693,2022-01-13,Roupas,184.29,SC,Sul,36,Bronze,3,1,1,2022,13,0
O004162,C00949,2022-01-13,Brinquedos,164.93,CE,Nordeste,22,Ouro,3,1,1,2022,13,0
O008153,C00180,2022-01-13,Brinquedos,180.92,PR,Sul,62,Ouro,3,1,1,2022,13,0
O007898,C00707,2022-01-13,Livros,53.88,MG,Sudeste,48,Platina,3,1,1,2022,13,0
O003171,C00816,2022-01-13,Roupas,154.38,PR,Sul,44,Prata,3,1,1,2022,13,0
O009338,C00155,2022-01-13,Beleza,33.41,GO,Centro-Oeste,30,Bronze,3,1,1,2022,13,0
O007519,C00942,2022-01-13,Eletrônicos,358.41,SC,Sul,35,Platina,3,1,1,2022,13,0
O008550,C00724,2022-01-13,Roupas,399.44,SC,Sul,58,Platina,3,1,1,2022,13,0
O000134,C00165,2022-01-14,Esportes,458.81,SP,Sudeste,40,Platina,4,1,1,2022,14,0
O007879,C00000,2022-01-14,Esportes,294.96,DF,Centro-Oeste,56,Bronze,4,1,1,2022,14,0
O004174,C00961,2022-01-14,Brinquedos,179.18,MG,Sudeste,43,Bronze,4,1,1,2022,14,0
O006562,C00589,2022-01-14,Brinquedos,44.14,PE,Nordeste,43,Ouro,4,1,1,2022,14,0
O001290,C00292,2022-01-14,Eletrônicos,958.6,RS,Sul,69,Ouro,4,1,1,2022,14,0
O005028,C00849,2022-01-14,Beleza,143.5,PR,Sul,21,Platina,4,1,1,2022,14,0
O002008,C00303,2022-01-14,Eletrônicos,1146.92,RS,Sul,52,Platina,4,1,1,2022,14,0
O003234,C00049,2022-01-14,Livros,62.26,PA,Norte,42,Ouro,4,1,1,2022,14,0
O006851,C00854,2022-01-14,Alimentos,87.13,BA,Nordeste,51,Bronze,4,1,1,2022,14,0
O007050,C00681,2022-01-14,Esportes,163.87,RJ,Sudeste,63,Bronze,4,1,1,2022,14,0
O000582,C00592,2022-01-14,Alimentos,91.76,PE,Nordeste,58,Bronze,4,1,1,2022,14,0
O002188,C00588,2022-01-14,Alimentos,188.4,MG,Sudeste,27,Ouro,4,1,1,2022,14,0
O001680,C00914,2022-01-14,Casa e Jardim,111.09,BA,Nordeste,30,Platina,4,1,1,2022,14,0
O005379,C00832,2022-01-14,Eletrônicos,1095.59,PE,Nordeste,55,Ouro,4,1,1,2022,14,0
O009968,C00091,2022-01-15,Brinquedos,201.54,RJ,Sudeste,35,Platina,5,1,1,2022,15,1
O001385,C00469,2022-01-15,Beleza,60.66,MG,Sudeste,69,Ouro,5,1,1,2022,15,1
O009116,C00435,2022-01-15,Beleza,139.08,PR,Sul,63,Bronze,5,1,1,2022,15,1
O005152,C00328,2022-01-15,Alimentos,40.29,PE,Nordeste,35,Bronze,5,1,1,2022,15,1
O002855,C00560,2022-01-15,Casa e Jardim,429.84,DF,Centro-Oeste,50,Platina,5,1,1,2022,15,1
O005809,C00107,2022-01-15,Beleza,140.59,RS,Sul,61,Bronze,5,1,1,2022,15,1
O003260,C00028,2022-01-15,Alimentos,31.74,DF,Centro-Oeste,61,Ouro,5,1,1,2022,15,1
O003258,C00843,2022-01-15,Eletrônicos,965.74,PR,Sul,26,Bronze,5,1,1,2022,15,1
O008216,C00422,2022-01-15,Eletrônicos,721.65,PA,Norte,59,Platina,5,1,1,2022,15,1
O006328,C00460,2022-01-16,Livros,42.61,PA,Norte,25,Prata,6,1,1,2022,16,1
O006585,C00701,2022-01-16,Livros,45.05,CE,Nordeste,24,Bronze,6,1,1,2022,16,1
O009510,C00521,2022-01-16,Esportes,218.43,PE,Nordeste,22,Bronze,6,1,1,2022,16,1
O003869,C00795,2022-01-16,Beleza,80.85,PE,Nordeste,68,Prata,6,1,1,2022,16,1
O006412,C00926,2022-01-16,Beleza,333.21,RJ,Sudeste,25,Ouro,6,1,1,2022,16,1
O003065,C00707,2022-01-16,Livros,110.76,MG,Sudeste,48,Platina,6,1,1,2022,16,1
O007021,C00791,2022-01-16,Casa e Jardim,294.95,AM,Norte,63,Bronze,6,1,1,2022,16,1
O001856,C00237,2022-01-16,Brinquedos,201.65,SC,Sul,19,Platina,6,1,1,2022,16,1
O001072,C00155,2022-01-16,Roupas,67.98,GO,Centro-Oeste,30,Bronze,6,1,1,2022,16,1
O000576,C00238,2022-01-17,Beleza,131.64,RJ,Sudeste,61,Ouro,0,1,1,2022,17,0
O008242,C00554,2022-01-17,Livros,66.05,PE,Nordeste,44,Ouro,0,1,1,2022,17,0
O009374,C00407,2022-01-17,Casa e Jardim,793.49,DF,Centro-Oeste,39,Platina,0,1,1,2022,17,0
O000489,C00218,2022-01-17,Beleza,85.58,PA,Norte,69,Prata,0,1,1,2022,17,0
O003514,C00009,2022-01-17,Alimentos,62.32,CE,Nordeste,40,Prata,0,1,1,2022,17,0
O003787,C00651,2022-01-17,Livros,23.96,CE,Nordeste,22,Bronze,0,1,1,2022,17,0
O008272,C00047,2022-01-17,Brinquedos,81.93,PA,Norte,35,Bronze,0,1,1,2022,17,0
O007102,C00833,2022-01-17,Roupas,170.11,PA,Norte,20,Platina,0,1,1,2022,17,0
O007855,C00251,2022-01-17,Casa e Jardim,89.04,BA,Nordeste,23,Bronze,0,1,1,2022,17,0
O002923,C00565,2022-01-17,Livros,10.0,RS,Sul,29,Platina,0,1,1,2022,17,0
O006275,C00580,2022-01-18,Livros,35.2,PR,Sul,67,Platina,1,1,1,2022,18,0
O002844,C00039,2022-01-18,Roupas,91.38,DF,Centro-Oeste,69,Ouro,1,1,1,2022,18,0
O008880,C00759,2022-01-18,Eletrônicos,239.47,PA,Norte,40,Prata,1,1,1,2022,18,0
O000499,C00319,2022-01-18,Livros,74.45,RJ,Sudeste,37,Platina,1,1,1,2022,18,0
O006732,C00839,2022-01-18,Eletrônicos,611.53,PA,Norte,36,Platina,1,1,1,2022,18,0
O003742,C00906,2022-01-18,Beleza,10.0,CE,Nordeste,27,Platina,1,1,1,2022,18,0
O001915,C00716,2022-01-18,Roupas,108.7,SP,Sudeste,20,Prata,1,1,1,2022,18,0
O001302,C00547,2022-01-18,Eletrônicos,1450.8,GO,Centro-Oeste,33,Prata,1,1,1,2022,18,0
O005575,C00744,2022-01-18,Eletrônicos,1160.1,SC,Sul,54,Platina,1,1,1,2022,18,0
O001381,C00229,2022-01-18,Brinquedos,173.59,SP,Sudeste,19,Bronze,1,1,1,2022,18,0
O005115,C00884,2022-01-18,Casa e Jardim,219.65,RJ,Sudeste,67,Bronze,1,1,1,2022,18,0
O000821,C00438,2022-01-18,Casa e Jardim,388.88,AM,Norte,29,Platina,1,1,1,2022,18,0
O009536,C00075,2022-01-18,Roupas,243.53,BA,Nordeste,43,Prata,1,1,1,2022,18,0
O000117,C00756,2022-01-19,Esportes,195.82,BA,Nordeste,18,Ouro,2,1,1,2022,19,0
O003584,C00489,2022-01-19,Brinquedos,247.95,DF,Centro-Oeste,29,Prata,2,1,1,2022,19,0
O004360,C00092,2022-01-19,Brinquedos,220.66,RJ,Sudeste,64,Prata,2,1,1,2022,19,0
O003318,C00147,2022-01-19,Brinquedos,112.51,GO,Centro-Oeste,31,Platina,2,1,1,2022,19,0
O004207,C00722,2022-01-19,Livros,93.16,BA,Nordeste,45,Ouro,2,1,1,2022,19,0
O005163,C00186,2022-01-19,Livros,81.24,RJ,Sudeste,37,Platina,2,1,1,2022,19,0
O009035,C00929,2022-01-19,Beleza,364.94,GO,Centro-Oeste,21,Platina,2,1,1,2022,19,0
O001436,C00795,2022-01-19,Eletrônicos,692.11,PE,Nordeste,68,Prata,2,1,1,2022,19,0
O000819,C00320,2022-01-19,Brinquedos,348.51,MG,Sudeste,52,Platina,2,1,1,2022,19,0
O001383,C00805,2022-01-19,Alimentos,73.57,SC,Sul,50,Bronze,2,1,1,2022,19,0
O009344,C00926,2022-01-19,Beleza,78.4,RJ,Sudeste,25,Ouro,2,1,1,2022,19,0
O005996,C00942,2022-01-19,Esportes,461.64,SC,Sul,35,Platina,2,1,1,2022,19,0
O001060,C00175,2022-01-19,Roupas,300.95,DF,Centro-Oeste,68,Ouro,2,1,1,2022,19,0
O004608,C00856,2022-01-19,Esportes,492.09,RS,Sul,48,Platina,2,1,1,2022,19,0
O002847,C00920,2022-01-20,Casa e Jardim,218.31,PA,Norte,64,Bronze,3,1,1,2022,20,0
O009013,C00295,2022-01-20,Livros,79.49,MG,Sudeste,18,Prata,3,1,1,2022,20,0
O003434,C00591,2022-01-20,Livros,49.5,PA,Norte,68,Bronze,3,1,1,2022,20,0
O000933,C00621,2022-01-20,Livros,43.18,PR,Sul,66,Bronze,3,1,1,2022,20,0
O000420,C00479,2022-01-20,Brinquedos,57.79,BA,Nordeste,47,Bronze,3,1,1,2022,20,0
O008715,C00068,2022-01-20,Esportes,313.92,GO,Centro-Oeste,21,Platina,3,1,1,2022,20,0
O005640,C00474,2022-01-20,Eletrônicos,1166.75,SC,Sul,69,Ouro,3,1,1,2022,20,0
O008338,C00319,2022-01-20,Livros,67.41,RJ,Sudeste,37,Platina,3,1,1,2022,20,0
O008283,C00622,2022-01-21,Eletrônicos,761.31,AM,Norte,30,Ouro,4,1,1,2022,21,0
O008596,C00923,2022-01-21,Beleza,95.86,GO,Centro-Oeste,48,Prata,4,1,1,2022,21,0
O008594,C00696,2022-01-21,Livros,60.56,RS,Sul,62,Bronze,4,1,1,2022,21,0
O007934,C00208,2022-01-21,Livros,105.47,BA,Nordeste,61,Bronze,4,1,1,2022,21,0
O009257,C00695,2022-01-21,Esportes,256.3,MG,Sudeste,65,Platina,4,1,1,2022,21,0
O002687,C00556,2022-01-21,Roupas,10.0,PA,Norte,41,Platina,4,1,1,2022,21,0
O009837,C00544,2022-01-21,Eletrônicos,605.42,SC,Sul,22,Platina,4,1,1,2022,21,0
O002255,C00997,2022-01-22,Roupas,457.23,RS,Sul,62,Ouro,5,1,1,2022,22,1
O000365,C00231,2022-01-22,Roupas,463.86,SC,Sul,40,Ouro,5,1,1,2022,22,1
O009322,C00986,2022-01-22,Brinquedos,133.2,PE,Nordeste,62,Platina,5,1,1,2022,22,1
O006892,C00994,2022-01-22,Casa e Jardim,320.33,AM,Norte,63,Prata,5,1,1,2022,22,1
O001378,C00271,2022-01-22,Eletrônicos,1285.04,RS,Sul,69,Prata,5,1,1,2022,22,1
O003601,C00626,2022-01-22,Beleza,145.95,DF,Centro-Oeste,58,Ouro,5,1,1,2022,22,1
O003094,C00743,2022-01-22,Esportes,213.04,PE,Nordeste,28,Bronze,5,1,1,2022,22,1
O003451,C00983,2022-01-22,Alimentos,106.93,GO,Centro-Oeste,31,Bronze,5,1,1,2022,22,1
O005620,C00114,2022-01-22,Eletrônicos,150.48,PA,Norte,52,Platina,5,1,1,2022,22,1
O007805,C00196,2022-01-22,Livros,78.74,CE,Nordeste,30,Bronze,5,1,1,2022,22,1
O002487,C00294,2022-01-22,Brinquedos,107.04,CE,Nordeste,19,Bronze,5,1,1,2022,22,1
O009578,C00965,2022-01-22,Eletrônicos,1034.36,DF,Centro-Oeste,47,Ouro,5,1,1,2022,22,1
O005993,C00765,2022-01-23,Beleza,222.53,MG,Sudeste,25,Ouro,6,1,1,2022,23,1
O007857,C00704,2022-01-23,Roupas,176.73,PR,Sul,21,Ouro,6,1,1,2022,23,1
O007623,C00243,2022-01-23,Roupas,301.32,DF,Centro-Oeste,21,Platina,6,1,1,2022,23,1
O001868,C00302,2022-01-23,Brinquedos,89.75,BA,Nordeste,58,Bronze,6,1,1,2022,23,1
O003713,C00651,2022-01-23,Alimentos,61.43,CE,Nordeste,22,Bronze,6,1,1,2022,23,1
O006206,C00954,2022-01-23,Roupas,196.78,PE,Nordeste,51,Platina,6,1,1,2022,23,1
O004202,C00131,2022-01-23,Esportes,180.47,SP,Sudeste,54,Bronze,6,1,1,2022,23,1
O009621,C00541,2022-01-23,Livros,29.16,SP,Sudeste,36,Bronze,6,1,1,2022,23,1
O009775,C00176,2022-01-23,Esportes,121.6,DF,Centro-Oeste,39,Bronze,6,1,1,2022,23,1
O005213,C00551,2022-01-24,Brinquedos,76.94,PE,Nordeste,66,Prata,0,1,1,2022,24,0
O009854,C00825,2022-01-24,Beleza,63.2,PA,Norte,65,Prata,0,1,1,2022,24,0
O008774,C00927,2022-01-24,Eletrônicos,1510.41,DF,Centro-Oeste,21,Ouro,0,1,1,2022,24,0
O009547,C00893,2022-01-24,Eletrônicos,10.0,MG,Sudeste,55,Bronze,0,1,1,2022,24,0
O001527,C00707,2022-01-24,Alimentos,10.0,MG,Sudeste,48,Platina,0,1,1,2022,24,0
O006625,C00150,2022-01-24,Eletrônicos,997.21,MG,Sudeste,26,Bronze,0,1,1,2022,24,0
O000138,C00265,2022-01-24,Esportes,278.26,SP,Sudeste,43,Prata,0,1,1,2022,24,0
O003365,C00019,2022-01-24,Roupas,308.21,RJ,Sudeste,41,Bronze,0,1,1,2022,24,0
O001845,C00926,2022-01-24,Roupas,69.0,RJ,Sudeste,25,Ouro,0,1,1,2022,24,0
O004989,C00576,2022-01-25,Casa e Jardim,402.77,GO,Centro-Oeste,48,Ouro,1,1,1,2022,25,0
O009630,C00186,2022-01-25,Eletrônicos,679.62,RJ,Sudeste,37,Platina,1,1,1,2022,25,0
O005676,C00489,2022-01-25,Roupas,87.87,DF,Centro-Oeste,29,Prata,1,1,1,2022,25,0
O007823,C00954,2022-01-25,Casa e Jardim,406.08,PE,Nordeste,51,Platina,1,1,1,2022,25,0
O008423,C00553,2022-01-25,Esportes,539.33,DF,Centro-Oeste,49,Ouro,1,1,1,2022,25,0
O006227,C00108,2022-01-25,Livros,108.3,SP,Sudeste,25,Ouro,1,1,1,2022,25,0
O000518,C00508,2022-01-25,Beleza,98.39,GO,Centro-Oeste,33,Platina,1,1,1,2022,25,0
O008921,C00779,2022-01-25,Livros,109.73,PR,Sul,58,Platina,1,1,1,2022,25,0
O003134,C00559,2022-01-25,Alimentos,96.63,SC,Sul,52,Ouro,1,1,1,2022,25,0
O001916,C00887,2022-01-25,Alimentos,171.57,SC,Sul,47,Ouro,1,1,1,2022,25,0
O000625,C00548,2022-01-25,Eletrônicos,787.45,MG,Sudeste,41,Prata,1,1,1,2022,25,0
O004807,C00796,2022-01-26,Livros,88.87,SC,Sul,22,Ouro,2,1,1,2022,26,0
O000954,C00855,2022-01-26,Casa e Jardim,242.45,BA,Nordeste,45,Ouro,2,1,1,2022,26,0
O002909,C00715,2022-01-26,Roupas,27.95,PA,Norte,56,Bronze,2,1,1,2022,26,0
O005405,C00650,2022-01-26,Eletrônicos,2432.18,MG,Sudeste,33,Platina,2,1,1,2022,26,0
O000769,C00582,2022-01-26,Alimentos,55.3,AM,Norte,40,Prata,2,1,1,2022,26,0
O002077,C00938,2022-01-26,Alimentos,82.42,GO,Centro-Oeste,68,Platina,2,1,1,2022,26,0
O004355,C00918,2022-01-26,Roupas,160.06,AM,Norte,28,Platina,2,1,1,2022,26,0
O009936,C00869,2022-01-26,Livros,116.62,MG,Sudeste,34,Platina,2,1,1,2022,26,0
O001478,C00606,2022-01-27,Casa e Jardim,160.16,GO,Centro-Oeste,41,Prata,3,1,1,2022,27,0
O005716,C00703,2022-01-27,Esportes,219.54,SP,Sudeste,62,Prata,3,1,1,2022,27,0
O007648,C00130,2022-01-27,Alimentos,48.55,PA,Norte,41,Bronze,3,1,1,2022,27,0
O001018,C00633,2022-01-27,Roupas,429.67,SP,Sudeste,39,Ouro,3,1,1,2022,27,0
O004021,C00467,2022-01-27,Casa e Jardim,447.0,SC,Sul,62,Ouro,3,1,1,2022,27,0
O004076,C00946,2022-01-27,Brinquedos,45.15,SC,Sul,38,Ouro,3,1,1,2022,27,0
O001033,C00972,2022-01-27,Esportes,265.48,RJ,Sudeste,25,Prata,3,1,1,2022,27,0
O007276,C00724,2022-01-27,Roupas,172.13,SC,Sul,58,Platina,3,1,1,2022,27,0
O007935,C00473,2022-01-27,Livros,22.78,PE,Nordeste,57,Bronze,3,1,1,2022,27,0
O005286,C00421,2022-01-27,Roupas,129.19,GO,Centro-Oeste,46,Prata,3,1,1,2022,27,0
O008615,C00145,2022-01-27,Eletrônicos,616.67,AM,Norte,22,Ouro,3,1,1,2022,27,0
O007209,C00484,2022-01-28,Livros,161.82,RS,Sul,43,Ouro,4,1,1,2022,28,0
